Species_ID;
O_amazonicus;O. amazonicus_FMNH94523_lateral.JPG
O_amazonicus;O. amazonicus_FMNH94524_lateral.JPG
O_amazonicus;O. amazonicus_MZUSP21317_lateral.JPG
O_amazonicus;O. amazonicus_USNM519783_lateral.JPG
O_amazonicus;O. amazonicus_USNM519784_lateral.JPG
O_amazonicus;O. amazonicus_USNM519785_lateral.JPG
O_amazonicus;O. amazonicus_USNM519786_lateral.JPG
O_amazonicus;O. amazonicus_USNM519787_lateral.JPG
O_amazonicus;O. amazonicus_USNM521436_lateral.JPG
O_amazonicus;O. amazonicus_USNM521481_lateral.JPG
O_amazonicus;O. amazonicus_USNM521482_lateral.JPG
O_amazonicus;O. amazonicus_USNM521484_lateral.JPG
O_amazonicus;O. amazonicus_USNM521485_lateral.JPG
O_amazonicus;O. amazonicus_USNM521486_lateral.JPG
O_amazonicus;O. amazonicus_USNM521487_lateral.JPG
O_amazonicus;O. amazonicus_USNM521488_lateral.JPG
O_amazonicus;O. amazonicus_USNM521489_lateral.JPG
O_amazonicus;O. amazonicus_USNM521493_lateral.JPG
O_amazonicus;O. amazonicus_USNM521494_lateral.JPG
O_amazonicus;O. amazonicus_USNM521496_lateral.JPG
O_amazonicus;O. amazonicus_USNM544637_lateral.JPG
O_amazonicus;O. amazonicus_USNM546017_lateral.JPG
O_amazonicus;O. amazonicus_USNM546020_lateral.JPG
O_amazonicus;O. amazonicus_USNM546023_lateral.JPG
O_amazonicus;O. amazonicus_USNM546025_lateral.JPG
O_amazonicus;O. amazonicus_USNM546028_lateral.JPG
O_amazonicus;O. amazonicus_USNM546029_lateral.JPG
O_amazonicus;O. amazonicus_USNM546030_lateral.JPG
O_amazonicus;O. amazonicus_USNM546031_lateral.JPG
O_caparoae;O. caparaoe_FMNH230380_lateral.JPG
O_caparoae;O. caparaoe_FMNH230383_lateral.JPG
O_caparoae;O. caparaoe_MN31997_lateral.JPG
O_caparoae;O. caparaoe_PRG1131_lateral.JPG
O_caparoae;O. caparaoe_PRG1148_lateral.JPG
O_caparoae;O. caparaoe_PRG1188_lateral.JPG
O_dasytrichus;O. dasytrichus_AMNH134684_lateral.JPG
O_dasytrichus;O. dasytrichus_AMNH134688_lateral.JPG
O_dasytrichus;O. dasytrichus_AMNH134689_lateral.JPG
O_dasytrichus;O. dasytrichus_AMNH61832_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145437_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145438_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145441_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145442_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145443_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH145445_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH53874_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH53875_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH94525_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH94526_lateral.JPG
O_dasytrichus;O. dasytrichus_FMNH94529_lateral.JPG
O_dasytrichus;O. dasytrichus_MN67690_lateral.JPG
O_dasytrichus;O. dasytrichus_MVZ183132_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG1115_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG1407_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG1408_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG1890_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG2139_lateral.JPG
O_dasytrichus;O. dasytrichus_UFMG893_lateral.JPG
O_dasytrichus;O. dasytrichus_USNM545060_lateral.JPG
O_delator;O. delator_FMNH128320_lateral.JPG
O_delator;O. delator_FMNH128321_lateral.JPG
O_delator;O. delator_FMNH128322_lateral.JPG
O_delator;O. delator_FMNH128323_lateral.JPG
O_delator;O. delator_FMNH128324_lateral.JPG
O_delator;O. delator_MN46620_lateral.JPG
O_delator;O. delator_MN46622_lateral.JPG
O_delator;O. delator_MN67564_lateral.JPG
O_delator;O. delator_MN67687_lateral.JPG
O_delator;O. delator_UFMG1019_lateral.JPG
O_delator;O. delator_UFMG1068_lateral.JPG
O_delator;O. delator_UFMG3832_lateral.JPG
O_delator;O. delator_UFMG3922_lateral.JPG
O_delator;O. delator_UFMG4055_lateral.JPG
O_delator;O. delator_UFMG4202_lateral.JPG
O_delator;O. delator_UFMG4293_lateral.JPG
O_delator;O. delator_UMMZ126088_lateral.JPG
O_delator;O. delator_UNB101_lateral.jpg
O_delator;O. delator_UNB108_lateral.JPG
O_delator;O. delator_UNB201_lateral.JPG
O_delator;O. delator_USNM543121_lateral.JPG
O_delator;O. delator__MN46619_lateral.JPG
O_hiska;O. hiska_AMNH91601_lateral.JPG
O_hiska;O. hiska_AMNH91602_lateral.JPG
O_hiska;O. hiska_MVZ172659_lateral.JPG
O_hiska;O. hiska_MVZ172660_lateral.JPG
