;PC1;PC2
Juscelinomys_huanchacae;-0.056966684;-0.016129928
Oxymycterus_amazonicus;-0.010018181;-0.020907639
Oxymycterus_caparaoe;-0.010727314;0.033662154
Oxymycterus_dasytrichus;0.011169248;-0.004401916
Oxymycterus_delator;-0.020500315;-0.000260228
Oxymycterus_hiska;0.049941928;-0.014443966
Oxymycterus_inca;0.008144758;-0.014122661
Oxymycterus_itapeby;-0.025337067;0.002096663
Oxymycterus_josei;-0.004686587;0.002078492
Oxymycterus_juliacae;0.029519988;-0.018234805
Oxymycterus_nasutus;-0.005319671;0.01595984
Oxymycterus_nigrifrons;0.03580567;0.016314544
Oxymycterus_paramensis;0.013775168;0.009767517
Oxymycterus_quaestor;0.00255934;0.011547884
Oxymycterus_rufus;-0.017360281;-0.002925949
