Species_ID;
O_amazonicus;'O. amazonicus_FMNH94523_dorsal.JPG'
O_amazonicus;'O. amazonicus_FMNH94524_dorsal.JPG'
O_amazonicus;'O. amazonicus_MZUSP21317_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM519783_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM519784_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM519785_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM519786_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM519787_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521436_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521481_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521482_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521484_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521485_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521486_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521487_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521488_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521489_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521493_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521494_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM521496_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM544637_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546017_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546020_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546023_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546025_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546028_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546029_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546030_dorsal.JPG'
O_amazonicus;'O. amazonicus_USNM546031_dorsal.JPG'
O_caparoae;'O. caparaoe_FMNH230380_dorsal.JPG'
O_caparoae;'O. caparaoe_FMNH230383_dorsal.JPG'
O_caparoae;'O. caparaoe_MN31997_dorsal.JPG'
O_caparoae;'O. caparaoe_PRG1131_dorsal.JPG'
O_caparoae;'O. caparaoe_PRG1148_dorsal.JPG'
O_caparoae;'O. caparaoe_PRG1188_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_AMNH134684_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_AMNH134688_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_AMNH134689_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_AMNH61832_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145437_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145438_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145441_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145442_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145443_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145445_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH53874_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH53875_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94525_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94526_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94529_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_MN67690_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_MVZ183132_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1115_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1407_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1408_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1476_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1890_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG2139_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG748_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG818_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG820_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_UFMG893_dorsal.JPG'
O_dasytrichus;'O. dasytrichus_USNM545060_dorsal.JPG'
O_delator;'O. delator_MN46619_dorsal.JPG'
O_delator;'O. delator_MN46620_dorsal.JPG'
O_delator;'O. delator_MN46622_dorsal.JPG'
O_delator;'O. delator_MN67564_dorsal.JPG'
O_delator;'O. delator_MN67687_dorsal.JPG'
O_delator;'O. delator_UFMG1019_dorsal.JPG'
O_delator;'O. delator_UFMG1068_dorsal.JPG'
O_delator;'O. delator_UFMG1069_dorsal.JPG'
O_delator;'O. delator_UFMG2738_dorsal.JPG'
O_delator;'O. delator_UFMG3832_dorsal.JPG'
O_delator;'O. delator_UFMG3922_dorsal.JPG'
O_delator;'O. delator_UFMG4055_dorsal.JPG'
O_delator;'O. delator_UFMG4202_dorsal.JPG'
O_delator;'O. delator_UFMG4252_dorsal.JPG'
O_delator;'O. delator_UFMG4293_dorsal.JPG'
O_delator;'O. delator_UMMZ126088_dorsal.JPG'
O_delator;'O. delator_UNB101_dorsal.JPG'
O_delator;'O. delator_UNB108_dorsal.JPG'
O_delator;'O. delator_UNB201_dorsal.JPG'
O_delator;'O. delator_USNM543121_dorsal.JPG'
O_hiska;'O. hiska_AMNH91601_dorsal.JPG'
O_hiska;'O. hiska_AMNH91602_dorsal.JPG'
O_hiska;'O. hiska_MVZ172659_dorsal.JPG'
O_hiska;'O. hiska_MVZ172660_dorsal.JPG'
O_inca;'O. inca_FMNH172366_dorsal.JPG'
O_inca;'O. inca_FMNH175211_dorsal.JPG'
O_inca;'O. inca_FMNH175213_dorsal.JPG'
O_inca;'O. inca_FMNH175215_dorsal.JPG'
O_inca;'O. inca_FMNH18186_dorsal.JPG'
O_juliacae;'O. inca_FMNH65706_dorsal.JPG'
O_juliacae;'O. inca_FMNH66404_dorsal.JPG'
O_juliacae;'O. inca_FMNH66406_dorsal.JPG'
O_juliacae;'O. inca_FMNH68617_dorsal.JPG'
O_juliacae;O. inca_FMNH78385_dorsal.JPG'
O_juliacae;'O. inca_FMNH84365_dorsal.JPG'
O_inca;'O. inca_UFMG1618_dorsal.JPG'
O_itapeby;'O. itapeby_AMNH139813_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1503_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1515_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1516_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1520_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1525_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1530_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1540_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1542_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1552_dorsal.jpg'
O_itapeby;'O. itapeby_JAO1554_dorsal.JPG'
O_itapeby;'O. itapeby_JAO1560_dorsal.JPG'
O_itapeby;'O. itapeby_USNM460550_dorsal.JPG'
O_itapeby;'O. itapeby_USNM460551_dorsal.JPG'
O_itapeby;'O. itapeby_USNM461881_dorsal.JPG'
O_itapeby;'O. itapeby_USNM484394_dorsal.JPG'
O_itapeby;'O. itapeby_USNM484395_dorsal.JPG'
O_itapeby;'O. itapeby_USNM484396_dorsal.JPG'
O_josei;'O. josei_MVZ183264_dorsal.JPG'
O_josei;'O. josei_MVZ183265_dorsal.JPG'
O_josei;'O. josei_MVZ183266_dorsal.JPG'
O_juliacae;'O. juliacae_FMNH52622_dorsal.JPG'
O_juliacae;'O. juliacae_FMNH66405_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206175_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206176_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206182_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206186_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206193_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206194_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206196_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206198_dorsal.JPG'
O_nasutus;'O. nasutus_AMNH206201_dorsal.JPG'
