Spp;
O_amazonicus;'O. amazonicus_FMNH93064_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH93065_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH93066_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH93067_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH94523_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH94524__mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH94539_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH94541_mandible.JPG'
O_amazonicus;'O. amazonicus_FMNH94542_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM519783_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM519784_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM519785_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM519786_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM519787_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521436_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521481_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521482_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521484_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521485_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521486_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521487_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521488_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521489_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521493_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521494_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM521496_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM544637_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546017_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546020_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546023_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546025_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546028_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546029_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546030_mandible.JPG'
O_amazonicus;'O. amazonicus_USNM546031_mandible.JPG'
O_caparaoe;'O. caparaoe_FMNH230378_mandible.JPG'
O_caparaoe;'O. caparaoe_FMNH230381_mandible.JPG'
O_caparaoe;'O. caparaoe_MN31997_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145437_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145438_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145441_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145442_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145443_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145444_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH145445_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH53874_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH53875_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94525_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94526_mandible.JPG'
O_dasytrichus;'O. dasytrichus_FMNH94529_mandible.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1476_mandible.JPG'
O_dasytrichus;'O. dasytrichus_UFMG1890_mandible.JPG'
O_dasytrichus;'O. dasytrichus_UFMG219_mandible.JPG'
O_dasytrichus;'O. dasytrichus_USNM545060_mandible.JPG'
O_delator;'O. delator_UFMG1069_mandible.JPG'
O_delator;'O. delator_USNM543121_mandible.JPG'
O_hiska;'O. hiska_AMNH72889_mandible.JPG'
O_hiska;'O. hiska_AMNH91303_mandible.JPG'
O_hiska;'O. hiska_AMNH91601_mandible.JPG'
O_hiska;'O. hiska_AMNH91602_mandible.JPG'
O_inca;'O. inca_FMNH172366_mandible.JPG'
O_inca;'O. inca_FMNH175211_mandible.JPG'
O_inca;'O. inca_FMNH175213_mandible.JPG'
O_inca;'O. inca_FMNH175215_mandible.JPG'
O_inca;'O. inca_FMNH18186_mandible.JPG'
O_juliacae;'O. inca_FMNH52621_mandible.JPG'
O_juliacae;'O. inca_FMNH52622_mandible.JPG'
O_juliacae;'O. inca_FMNH65706_mandible.JPG'
O_juliacae;'O. inca_FMNH66404_mandible.JPG'
O_juliacae;'O. inca_FMNH66405_mandible.JPG'
O_juliacae;'O. inca_FMNH66406_mandible.JPG'
O_juliacae;'O. inca_FMNH84365_mandible.JPG'
O_inca;'O. inca_UFMG1618_mandible.JPG'
O_itapeby;'O. itapeby_USNM460550_mandible.JPG'
O_itapeby;'O. itapeby_USNM460551_mandible.JPG'
O_itapeby;'O. itapeby_USNM461881_mandible.JPG'
O_itapeby;'O. itapeby_USNM484394_mandible.JPG'
O_itapeby;'O. itapeby_USNM484395_mandible.JPG'
O_itapeby;'O. itapeby_USNM484396_mandible.JPG'
O_nasutus;'O. nasutus_FMNH29250_mandible.JPG'
O_nasutus;'O. nasutus_FMNH29252_mandible.JPG'
O_paramensis;'O. paramensis_FMNH140811_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162837_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162839_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162841_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162843_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162845_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162847_mandible.JPG'
O_paramensis;'O. paramensis_FMNH162851_mandible.JPG'
O_paramensis;'O. paramensis_FMNH170685_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23316_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23318_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23319_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23320_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23322_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23324_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23325_mandible.JPG'
O_paramensis;'O. paramensis_FMNH23326_mandible.JPG'
O_paramensis;'O. paramensis_FMNH35251_mandible.JPG'
O_paramensis;'O. paramensis_FMNH46151_mandible.JPG'
O_paramensis;'O. paramensis_FMNH50984_mandible.JPG'
O_paramensis;'O. paramensis_FMNH50985_mandible.JPG'
O_paramensis;'O. paramensis_FMNH50986_mandible.JPG'
O_paramensis;'O. paramensis_FMNH50987_mandible.JPG'
O_paramensis;'O. paramensis_FMNH51923_mandible.JPG'
O_paramensis;'O. paramensis_FMNH51924_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52623_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52624_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52626_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52627_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52628_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52630_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52631_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52632_mandible.JPG'
O_paramensis;'O. paramensis_FMNH52633_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53136_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53144_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53145_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53146_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53148_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53149_mandible.JPG'
O_paramensis;'O. paramensis_FMNH53151_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74892_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74893_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74894_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74895_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74896_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74897_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74898_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74899_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74900_mandible.JPG'
O_paramensis;'O. paramensis_FMNH74901_mandible.JPG'
O_quaestor;'O. quaestor_FMNH128320_mandible.JPG'
O_quaestor;'O. quaestor_FMNH128321_mandible.JPG'
O_quaestor;'O. quaestor_FMNH128322_mandible.JPG'
O_quaestor;'O. quaestor_FMNH128323_mandible.JPG'
O_quaestor;'O. quaestor_FMNH128324_mandible.JPG'
O_quaestor;'O. quaestor_FMNH23843_mandible.JPG'
O_quaestor;'O. quaestor_FMNH26586_mandible.JPG'
O_quaestor;'O. quaestor_FMNH26587_mandible.JPG'
O_quaestor;'O. quaestor_FMNH26595_mandible.JPG'
O_quaestor;'O. quaestor_FMNH26754_mandible.JPG'
O_quaestor;'O. quaestor_FMNH26757_mandible.JPG'
O_quaestor;'O. quaestor_FMNH34375_mandible.JPG'
O_quaestor;'O. quaestor_FMNH34377_mandible.JPG'
O_quaestor;'O. quaestor_FMNH34380_mandible.JPG'
O_quaestor;'O. quaestor_FMNH35354_mandible.JPG'
O_quaestor;'O. quaestor_MISIONALISTYPE_mandible.JPG'
O_quaestor;'O. quaestor_USNM259577_mandible.JPG'
O_quaestor;'O. quaestor_USNM259578_mandible.JPG'
O_quaestor;'O. quaestor_USNM282160_mandible.JPG'
O_quaestor;'O. quaestor_USNM462120_mandible.JPG'
O_quaestor;'O. quaestor_USNM462121_mandible.JPG'
O_quaestor;'O. quaestor_USNM462123_mandible.JPG'
O_quaestor;'O. quaestor_USNM484400_mandible.JPG'
O_quaestor;'O. quaestor_USNM484401_mandible.JPG'
O_quaestor;'O. quaestor_USNM484402_mandible.JPG'
O_quaestor;'O. quaestor_USNM484404_mandible.JPG'
O_quaestor;'O. quaestor_USNM484405_mandible.JPG'
O_rufus;Oxymycterus rufus FMNH 136923'
J_huanchacae;508.JPG'
J_huanchacae;509.JPG'
J_huanchacae;510.JPG'
J_huanchacae;511.JPG'
J_huanchacae;512.JPG'
J_huanchacae;513.JPG'
J_huanchacae;514.JPG'
