;PC1;PC2
Juscelinomys_huanchacae;-0.054474007;0.000571766
Oxymycterus_amazonicus;-0.019594265;-0.008670069
Oxymycterus_caparaoe;0.024842726;0.018697687
Oxymycterus_dasytrichus;0.007065776;-0.004230992
Oxymycterus_delator;-0.013298228;0.003016137
Oxymycterus_hiska;0.005069091;-0.017107725
Oxymycterus_inca;0.002662575;-0.006259177
Oxymycterus_itapeby;-0.011644871;0.01614488
Oxymycterus_josei;-0.010367185;0.005790768
Oxymycterus_juliacae;0.008700854;-0.022762746
Oxymycterus_nasutus;0.009210683;0.011173685
Oxymycterus_nigrifrons;0.012492985;0.001058066
Oxymycterus_paramensis;0.023876394;-0.001410513
Oxymycterus_quaestor;0.020789355;-0.001720696
Oxymycterus_rufus;-0.005331883;0.005708929
