;PC1;PC2
Juscelinomys_huanchacae;-0.005420869;-0.017733229
Oxymycterus_amazonicus;0.00820424;0.016388965
Oxymycterus_caparaoe;-0.015350644;-0.022073566
Oxymycterus_dasytrichus;0.008294723;-0.007632221
Oxymycterus_delator;0.00080468;-0.014213184
Oxymycterus_hiska;0.018326482;0.001509193
Oxymycterus_inca;0.010931667;0.014953273
Oxymycterus_itapeby;-0.016957302;0.002482428
Oxymycterus_juliacae;0.030778181;0.002535733
Oxymycterus_nasutus;-0.00514007;0.00615261
Oxymycterus_paramensis;0.005853002;-0.004532063
Oxymycterus_quaestor;-0.008483941;0.001799705
Oxymycterus_rufus;-0.031840148;0.020362359
