;PC1;PC2
Juscelinomys_huanchacae;-0.032919286;-0.032405631
Oxymycterus_amazonicus;0.003295723;-0.012855191
Oxymycterus_caparaoe;-0.010235513;0.026222648
Oxymycterus_dasytrichus;-0.001411657;0.001262367
Oxymycterus_delator;-0.014086106;-0.001777012
Oxymycterus_hiska;0.046411505;-0.006059184
Oxymycterus_inca;0.012149535;-0.009476835
Oxymycterus_itapeby;-0.018766761;0.006922497
Oxymycterus_josei;-0.001476503;0.000514324
Oxymycterus_juliacae;0.023686893;-0.011235711
Oxymycterus_nasutus;-0.008942015;0.009884817
Oxymycterus_nigrifrons;0.012238008;0.013817804
Oxymycterus_paramensis;0.006902317;0.006436674
Oxymycterus_quaestor;-0.01243394;0.009053394
Oxymycterus_rufus;-0.004412201;-0.000304962
